"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Response to Hydrogen Peroxide (GO:0042542)",0.0266187012767323,16,37,0.0322327100660005,"GO_Biological_Process_2026",1,0.650605505076751,"n.s."
"GO_Biological_Process_2026::Nuclear Envelope Organization (GO:0006998)",0.0266948169195409,11,19,0.00577127699766744,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Regulation of Angiogenesis (GO:0045765)",0.0267461217437886,63,164,0.00213140470901627,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class Ib (GO:0002477)",0.0269119098890348,6,7,0.0025016178260686,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Regulation of Lymphocyte Mediated Immunity (GO:0002706)",0.0269119098890348,6,7,0.0025016178260686,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Protein Localization to Phagophore Assembly Site (GO:0034497)",0.0274905933884511,10,16,0.00398705536292495,"GO_Biological_Process_2026",1,0.369986278131427,"n.s."
"GO_Molecular_Function_2026::Virus Receptor Activity (GO:0001618)",0.0277513157733696,15,29,0.00559261752856883,"GO_Molecular_Function_2026",1,0.364303809047407,"n.s."
"GO_Cellular_Component_2026::Specific Granule Membrane (GO:0035579)",0.0280376480064868,34,85,0.0104171520034861,"GO_Cellular_Component_2026",0.595800020137845,0.151419842909604,"n.s."
"GO_Molecular_Function_2026::MAP Kinase Phosphatase Activity (GO:0033549)",0.028097923382062,6,9,0.0175024485203408,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Regulation of Sprouting Angiogenesis (GO:1903670)",0.0285165299113235,16,32,0.0065135240635039,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Regulation of Glucose Metabolic Process (GO:0010906)",0.0287599732759298,15,29,0.00559261752856883,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Lytic Vacuole Organization (GO:0080171)",0.0290018135280711,21,43,0.00279387563327199,"GO_Biological_Process_2026",1,0.29275676225585,"n.s."
"GO_Biological_Process_2026::Mucosal Immune Response (GO:0002385)",0.0291697989391043,9,17,0.025388977117465,"GO_Biological_Process_2026",1,0.598575233737501,"n.s."
"GO_Molecular_Function_2026::GTPase Regulator Activity (GO:0030695)",0.0292763928108587,151,430,0.000525878138083218,"GO_Molecular_Function_2026",1,0.121477849897223,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Protein Metabolic Process (GO:0051247)",0.0293023019304624,62,177,0.0220153815366963,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Biological_Process_2026::Pyruvate Metabolic Process (GO:0006090)",0.0295508661735195,18,38,0.0081508374744593,"GO_Biological_Process_2026",1,0.405110385939071,"n.s."
"GO_Cellular_Component_2026::Endosome Membrane (GO:0010008)",0.030127517386969,138,400,0.00195974209311827,"GO_Cellular_Component_2026",0.614601354694167,0.0454303848859235,"GC-driven"
"GO_Biological_Process_2026::Cellular Response to Glucose Stimulus (GO:0071333)",0.0307709612975821,16,29,0.00178717847324764,"GO_Biological_Process_2026",1,0.273958506136285,"n.s."
"GO_Molecular_Function_2026::Protein Serine/Threonine Kinase Activity (GO:0004674)",0.0315861106050706,113,344,0.0231162200715095,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Cellular_Component_2026::ATPase Dependent Transmembrane Transport Complex (GO:0098533)",0.0316247345458736,5,5,0.00168487329731256,"GO_Cellular_Component_2026",0.620331331476751,0.0454303848859235,"GC-driven"
